raw_text,aspectTerms
The pizza is the best if you like thin crusted pizza .,"[{'term':'pizza', 'polarity':'positive'}]"
The pizza is the best if you like thin crusted pizza .,"[{'term':'thin crusted pizza', 'polarity':'none'}]"
"All the money went into the interior decoration , none of it went to the chefs .","[{'term':'interior decoration', 'polarity':'positive'}]"
"All the money went into the interior decoration , none of it went to the chefs .","[{'term':'chefs', 'polarity':'negative'}]"
The seats are uncomfortable if you are sitting against the wall on wooden benches .,"[{'term':'seats', 'polarity':'negative'}]"
"I asked for seltzer with lime , no ice .","[{'term':'seltzer with lime', 'polarity':'none'}]"
"Do n't go alone -- even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .","[{'term':'pickles', 'polarity':'positive'}]"
"Do n't go alone -- even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .","[{'term':'selection of meats and seafoods', 'polarity':'positive'}]"
My suggestion is to eat family style because you 'll want to try the other dishes .,"[{'term':'dishes', 'polarity':'none'}]"
My suggestion is to eat family style because you 'll want to try the other dishes .,"[{'term':'eat family style', 'polarity':'positive'}]"
"Best of all is the warm vibe , the owner is super friendly and service is fast .","[{'term':'vibe', 'polarity':'positive'}]"
"Best of all is the warm vibe , the owner is super friendly and service is fast .","[{'term':'owner', 'polarity':'positive'}]"
"Best of all is the warm vibe , the owner is super friendly and service is fast .","[{'term':'service', 'polarity':'positive'}]"
Faan 's got a great concept but a little rough on the delivery .,"[{'term':'delivery', 'polarity':'negative'}]"
"From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .","[{'term':'food', 'polarity':'positive'}]"
"From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .","[{'term':'atmosphere', 'polarity':'positive'}]"
"From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .","[{'term':'service', 'polarity':'positive'}]"
"Great food at REASONABLE prices , makes for an evening that ca n't be beat !","[{'term':'food', 'polarity':'positive'}]"
"Great food at REASONABLE prices , makes for an evening that ca n't be beat !","[{'term':'prices', 'polarity':'positive'}]"
this little place has a cute interior decor and affordable city prices .,"[{'term':'interior decor', 'polarity':'positive'}]"
this little place has a cute interior decor and affordable city prices .,"[{'term':'prices', 'polarity':'positive'}]"
Two words : Free wine .,"[{'term':'wine', 'polarity':'positive'}]"
The price is reasonable although the service is poor .,"[{'term':'price', 'polarity':'positive'}]"
The price is reasonable although the service is poor .,"[{'term':'service', 'polarity':'negative'}]"
"The quantity is also very good , you will come out satisfied .","[{'term':'quantity', 'polarity':'positive'}]"
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers , we sat at the sushi bar to be closer to the action .","[{'term':'sushi', 'polarity':'none'}]"
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers , we sat at the sushi bar to be closer to the action .","[{'term':'sushi bar', 'polarity':'none'}]"
The fried rice is amazing here .,"[{'term':'fried rice', 'polarity':'positive'}]"
"Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","[{'term':'mussels', 'polarity':'positive'}]"
"Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","[{'term':'puff pastry goat cheese', 'polarity':'positive'}]"
"Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","[{'term':'salad with a delicious dressing', 'polarity':'positive'}]"
"Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","[{'term':'hanger steak au poivre', 'polarity':'positive'}]"
"Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","[{'term':'courses', 'polarity':'none'}]"
it 's a perfect place to have a amanzing indian food .,"[{'term':'indian food', 'polarity':'positive'}]"
The place is so cool and the service is prompt and curtious .,"[{'term':'service', 'polarity':'positive'}]"
The place is so cool and the service is prompt and curtious .,"[{'term':'place', 'polarity':'positive'}]"
At the end you 're left with a mild broth with noodles that you can slurp out of a cup .,"[{'term':'broth with noodles', 'polarity':'positive'}]"
I just wonder how you can have such a delicious meal for such little money .,"[{'term':'meal', 'polarity':'positive'}]"
I just wonder how you can have such a delicious meal for such little money .,"[{'term':'money', 'polarity':'positive'}]"
The wine list is excellent .,"[{'term':'wine list', 'polarity':'positive'}]"
"Ive been to many Thai restaurants in Manhattan before , and Toons is by far the best Thai food Ive had -LRB- except for my mom 's of course -RRB- .","[{'term':'Thai food', 'polarity':'positive'}]"
They wouldnt even let me finish my glass of wine before offering another .,"[{'term':'glass of wine', 'polarity':'none'}]"
"Whem asked , we had to ask more detailed questions so that we knew what the specials were .","[{'term':'specials', 'polarity':'none'}]"
This is a consistently great place to dine for lunch or dinner .,"[{'term':'lunch', 'polarity':'none'}]"
This is a consistently great place to dine for lunch or dinner .,"[{'term':'dinner', 'polarity':'none'}]"
This is a consistently great place to dine for lunch or dinner .,"[{'term':'dine', 'polarity':'positive'}]"
"Nice atmosphere , the service was very pleasant and the desert was good .","[{'term':'atmosphere', 'polarity':'positive'}]"
"Nice atmosphere , the service was very pleasant and the desert was good .","[{'term':'service', 'polarity':'positive'}]"
"Nice atmosphere , the service was very pleasant and the desert was good .","[{'term':'desert', 'polarity':'positive'}]"
After really enjoying ourselves at the bar we sat down at a table and had dinner .,"[{'term':'bar', 'polarity':'positive'}]"
After really enjoying ourselves at the bar we sat down at a table and had dinner .,"[{'term':'table', 'polarity':'none'}]"
After really enjoying ourselves at the bar we sat down at a table and had dinner .,"[{'term':'dinner', 'polarity':'none'}]"
"Fabulous service , fantastic food , and a chilled out atmosphere and environment .","[{'term':'service', 'polarity':'positive'}]"
"Fabulous service , fantastic food , and a chilled out atmosphere and environment .","[{'term':'food', 'polarity':'positive'}]"
"Fabulous service , fantastic food , and a chilled out atmosphere and environment .","[{'term':'atmosphere', 'polarity':'positive'}]"
"Fabulous service , fantastic food , and a chilled out atmosphere and environment .","[{'term':'environment', 'polarity':'positive'}]"
Try the lasagnette appetizer .,"[{'term':'lasagnette appetizer', 'polarity':'positive'}]"
I liked the beer selection !,"[{'term':'beer selection', 'polarity':'positive'}]"
"Great food , good size menu , great service and an unpretensious setting .","[{'term':'food', 'polarity':'positive'}]"
"Great food , good size menu , great service and an unpretensious setting .","[{'term':'menu', 'polarity':'positive'}]"
"Great food , good size menu , great service and an unpretensious setting .","[{'term':'service', 'polarity':'positive'}]"
"Great food , good size menu , great service and an unpretensious setting .","[{'term':'setting', 'polarity':'positive'}]"
Go here for a romantic dinner but not for an all out wow dining experience .,"[{'term':'dinner', 'polarity':'positive'}]"
Go here for a romantic dinner but not for an all out wow dining experience .,"[{'term':'dining', 'polarity':'positive'}]"
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds .,"[{'term':'Dosa', 'polarity':'none'}]"
Wine list selection is good and wine-by-the-glass was generously filled to the top .,"[{'term':'Wine list selection', 'polarity':'positive'}]"
Wine list selection is good and wine-by-the-glass was generously filled to the top .,"[{'term':'wine-by-the-glass', 'polarity':'positive'}]"
"With the great variety on the menu , I eat here often and never get bored .","[{'term':'menu', 'polarity':'positive'}]"
The menu is very limited - i think we counted 4 or 5 entrees .,"[{'term':'menu', 'polarity':'negative'}]"
The menu is very limited - i think we counted 4 or 5 entrees .,"[{'term':'entrees', 'polarity':'negative'}]"
The menu is limited but almost all of the dishes are excellent .,"[{'term':'menu', 'polarity':'negative'}]"
The menu is limited but almost all of the dishes are excellent .,"[{'term':'dishes', 'polarity':'positive'}]"
Not too crazy about their sake martini .,"[{'term':'sake martini', 'polarity':'negative'}]"
"Great bagels , spreads and a good place to hang out in .","[{'term':'bagels', 'polarity':'positive'}]"
"Great bagels , spreads and a good place to hang out in .","[{'term':'spreads', 'polarity':'positive'}]"
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests .,"[{'term':'table', 'polarity':'none'}]"
"Unfortunately , the food is outstanding , but everything else about this restaurant is the pits .","[{'term':'food', 'polarity':'positive'}]"
We always have a delicious meal and always leave feeling satisfied .,"[{'term':'meal', 'polarity':'positive'}]"
"Dip the ingredients in with your chopsticks , swirl them around , and eat .","[{'term':'ingredients', 'polarity':'none'}]"
"Dip the ingredients in with your chopsticks , swirl them around , and eat .","[{'term':'chopsticks', 'polarity':'none'}]"
First went here to enjoy their garden terrace .,"[{'term':'garden terrace', 'polarity':'positive'}]"
The pizza was pretty good and huge .,"[{'term':'pizza', 'polarity':'positive'}]"
"The cuisine from what I 've gathered is authentic Taiwanese , though its very different from what I 've been accustomed to in Taipei .","[{'term':'cuisine', 'polarity':'none'}]"
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded .,"[{'term':'atmosphere', 'polarity':'positive'}]"
They are often crowded on the weekends but they are efficient and accurate with their service .,"[{'term':'service', 'polarity':'positive'}]"
They are often crowded on the weekends but they are efficient and accurate with their service .,"[{'term':'crowded', 'polarity':'negative'}]"
All my co-workers were amazed at how small the dish was .,"[{'term':'dish', 'polarity':'negative'}]"
"The atmosphere is unheralded , the service impecible , and the food magnificant .","[{'term':'atmosphere', 'polarity':'positive'}]"
"The atmosphere is unheralded , the service impecible , and the food magnificant .","[{'term':'service', 'polarity':'positive'}]"
"The atmosphere is unheralded , the service impecible , and the food magnificant .","[{'term':'food', 'polarity':'positive'}]"
"We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .","[{'term':'grilled branzino', 'polarity':'negative'}]"
"The wait staff is friendly , and the food has gotten better and better !","[{'term':'wait staff', 'polarity':'positive'}]"
"The wait staff is friendly , and the food has gotten better and better !","[{'term':'food', 'polarity':'positive'}]"
"It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .","[{'term':'vibe', 'polarity':'positive'}]"
"It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .","[{'term':'French food', 'polarity':'positive'}]"
"It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .","[{'term':'packed', 'polarity':'negative'}]"
Right off the L in Brooklyn this is a nice cozy place with good pizza .,"[{'term':'pizza', 'polarity':'positive'}]"
Right off the L in Brooklyn this is a nice cozy place with good pizza .,"[{'term':'place', 'polarity':'positive'}]"
Le Pere Pinard has a $ 15 pre-theater menu that is outstanding .,"[{'term':'pre-theater menu', 'polarity':'positive'}]"
I also ordered for delivery and the restaurant forgot half the order .,"[{'term':'delivery', 'polarity':'negative'}]"
I also ordered for delivery and the restaurant forgot half the order .,"[{'term':'order', 'polarity':'negative'}]"
Our server checked on us maybe twice during the entire meal .,"[{'term':'server', 'polarity':'negative'}]"
Our server checked on us maybe twice during the entire meal .,"[{'term':'meal', 'polarity':'none'}]"
The strong scents coming from the left and right of me negatively affected my taste buds .,"[{'term':'scents', 'polarity':'negative'}]"
We had the lobster sandwich and it was FANTASTIC .,"[{'term':'lobster sandwich', 'polarity':'positive'}]"
"Had we been stalling I could understand where they were coming from , but we had been there less than an hour and they had n't even brought us a check yet !","[{'term':'check', 'polarity':'negative'}]"
"Though the Spider Roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them .","[{'term':'price', 'polarity':'positive'}]"
"Though the Spider Roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them .","[{'term':'shell crab', 'polarity':'positive'}]"
Deep Fried Skewers are good and still rare to find in NYC .,"[{'term':'Deep Fried Skewers', 'polarity':'positive'}]"
"I have tried to make reservations , but both times , the hostess did n't have my name .","[{'term':'reservations', 'polarity':'none'}]"
"I have tried to make reservations , but both times , the hostess did n't have my name .","[{'term':'hostess', 'polarity':'negative'}]"
I also recommend the rice dishes or the different varieties of congee -LRB- rice porridge -RRB- .,"[{'term':'rice dishes', 'polarity':'positive'}]"
I also recommend the rice dishes or the different varieties of congee -LRB- rice porridge -RRB- .,"[{'term':'congee -LRB- rice porridge -RRB-', 'polarity':'positive'}]"
Their tuna tartar appetizer is to die for .,"[{'term':'tuna tartar appetizer', 'polarity':'positive'}]"
"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the fish dishes and soups .","[{'term':'chef', 'polarity':'positive'}]"
"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the fish dishes and soups .","[{'term':'fish dishes', 'polarity':'positive'}]"
"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the fish dishes and soups .","[{'term':'soups', 'polarity':'positive'}]"
"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the fish dishes and soups .","[{'term':'kitchen', 'polarity':'positive'}]"
"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the fish dishes and soups .","[{'term':'cuisine', 'polarity':'positive'}]"
"If you love wine and cheese and delicious french fare , you 'll love Artisanal !","[{'term':'wine', 'polarity':'positive'}]"
"If you love wine and cheese and delicious french fare , you 'll love Artisanal !","[{'term':'french fare', 'polarity':'positive'}]"
"If you love wine and cheese and delicious french fare , you 'll love Artisanal !","[{'term':'cheese', 'polarity':'positive'}]"
I love Indian food and consider myself to be quite an expert on it .,"[{'term':'Indian food', 'polarity':'positive'}]"
Some baby pizzas get their wish .,"[{'term':'baby pizzas', 'polarity':'none'}]"
Overall A oh ya even though there is waiting it is deff worth it,"[{'term':'waiting', 'polarity':'negative'}]"
The lava cake dessert was incredible and I recommend it .,"[{'term':'lava cake dessert', 'polarity':'positive'}]"
VT is what baby pizzas hope to be when they grow up .,"[{'term':'baby pizzas', 'polarity':'none'}]"
"From the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .","[{'term':'service', 'polarity':'negative'}]"
"From the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .","[{'term':'food', 'polarity':'negative'}]"
"From the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .","[{'term':'managers', 'polarity':'negative'}]"
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you 'll likely have trouble finishing the amount of food you get for FOUR DOLLARS .,"[{'term':'food', 'polarity':'positive'}]"
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you 'll likely have trouble finishing the amount of food you get for FOUR DOLLARS .,"[{'term':'food', 'polarity':'positive'}]"
The last time I went we were seated at a table in a corridor next to the kitchen .,"[{'term':'table', 'polarity':'negative'}]"
good selection of wines ranging from affordable to high end .,"[{'term':'selection of wines', 'polarity':'positive'}]"
"Nice restaurant overall , with classic upscale Italian decor .","[{'term':'Italian decor', 'polarity':'positive'}]"
Not impressed with the food .,"[{'term':'food', 'polarity':'negative'}]"
The entire dining experience was wonderful !,"[{'term':'dining experience', 'polarity':'positive'}]"
The wine selection -LRB- by the glass and bottle -RRB- is wonderful and I always recommend that friends make a reservation if they 're going to be in town .,"[{'term':'wine selection', 'polarity':'positive'}]"
The wine selection -LRB- by the glass and bottle -RRB- is wonderful and I always recommend that friends make a reservation if they 're going to be in town .,"[{'term':'reservation', 'polarity':'none'}]"
Service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress .,"[{'term':'Service', 'polarity':'positive'}]"
Service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress .,"[{'term':'maitre', 'polarity':'positive'}]"
Service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress .,"[{'term':'reservation', 'polarity':'negative'}]"
"Order the panang duck , it 's fantastic .","[{'term':'panang duck', 'polarity':'positive'}]"
"Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .","[{'term':'raw vegatables', 'polarity':'negative'}]"
"Other than the crappy service from two individuals , it 's great .","[{'term':'service', 'polarity':'negative'}]"
They have authentic Indian at amazin prices .,"[{'term':'Indian', 'polarity':'positive'}]"
They have authentic Indian at amazin prices .,"[{'term':'prices', 'polarity':'positive'}]"
Ambiance - relaxed and stylish .,"[{'term':'Ambiance', 'polarity':'positive'}]"
"Luckily we saved room for the BBQ Salmon , Sea Bass and Crispy Duck .","[{'term':'BBQ Salmon', 'polarity':'positive'}]"
"Luckily we saved room for the BBQ Salmon , Sea Bass and Crispy Duck .","[{'term':'Sea Bass', 'polarity':'positive'}]"
"Luckily we saved room for the BBQ Salmon , Sea Bass and Crispy Duck .","[{'term':'Crispy Duck', 'polarity':'positive'}]"
"Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .","[{'term':'ingredients', 'polarity':'positive'}]"
"Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .","[{'term':'ingredients', 'polarity':'positive'}]"
"Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .","[{'term':'pizza', 'polarity':'negative'}]"
"Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .","[{'term':'crust', 'polarity':'none'}]"
and yes Dal Bukhara is so dam good and so are all the kababs .,"[{'term':'kababs', 'polarity':'positive'}]"
and yes Dal Bukhara is so dam good and so are all the kababs .,"[{'term':'Dal Bukhara', 'polarity':'positive'}]"
I look forward to eating here again,"[{'term':'eating', 'polarity':'positive'}]"
I 've been coming here as a child and always come back for the taste .,"[{'term':'taste', 'polarity':'positive'}]"
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .,"[{'term':'meal', 'polarity':'positive'}]"
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .,"[{'term':'price', 'polarity':'positive'}]"
"A glass of Leaping Lizard , a glass of prosecco , and the mussels had everything happy .","[{'term':'glass of prosecco', 'polarity':'positive'}]"
"A glass of Leaping Lizard , a glass of prosecco , and the mussels had everything happy .","[{'term':'mussels', 'polarity':'positive'}]"
"A glass of Leaping Lizard , a glass of prosecco , and the mussels had everything happy .","[{'term':'glass of Leaping Lizard', 'polarity':'positive'}]"
"Food was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene .","[{'term':'Food', 'polarity':'none'}]"
"Food was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene .","[{'term':'creme brulee', 'polarity':'negative'}]"
"Food was average and creme brulee was awful - the sugar was charred , not caramelized and smelled of kerosene .","[{'term':'sugar', 'polarity':'negative'}]"
The food always tastes fresh and served promptly .,"[{'term':'food', 'polarity':'positive'}]"
The food always tastes fresh and served promptly .,"[{'term':'served', 'polarity':'positive'}]"
The pizza here is delicious .,"[{'term':'pizza', 'polarity':'positive'}]"
"Pizza and garlic knots are great as well , I order from them quite often and the delivery is always super quick !","[{'term':'Pizza', 'polarity':'positive'}]"
"Pizza and garlic knots are great as well , I order from them quite often and the delivery is always super quick !","[{'term':'delivery', 'polarity':'positive'}]"
"Pizza and garlic knots are great as well , I order from them quite often and the delivery is always super quick !","[{'term':'garlic knots', 'polarity':'positive'}]"
"For great chinese food nearby , you have Wu Liang Ye and Grand Sichuan just a block away .","[{'term':'chinese food', 'polarity':'positive'}]"
But who says Murray 's is anything about service .,"[{'term':'service', 'polarity':'none'}]"
"This place is really trendi but they have forgotten about the most important part of a restaurant , the food .","[{'term':'food', 'polarity':'negative'}]"
Hats off to the chef .,"[{'term':'chef', 'polarity':'positive'}]"
"Service could be improved but overall this is a place that understands the importance of little things -LRB- the heavy , black , antique-seeming teapot , for one -RRB- in the restaurant experience .","[{'term':'Service', 'polarity':'negative'}]"
"Service could be improved but overall this is a place that understands the importance of little things -LRB- the heavy , black , antique-seeming teapot , for one -RRB- in the restaurant experience .","[{'term':'teapot', 'polarity':'positive'}]"
"The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .","[{'term':'pizza', 'polarity':'positive'}]"
"The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .","[{'term':'fresh mozzarella', 'polarity':'positive'}]"
"The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria 's .","[{'term':'cheese', 'polarity':'negative'}]"
Its an excellent place to relax and the food is one of the best in the city of New York .,"[{'term':'place', 'polarity':'positive'}]"
Its an excellent place to relax and the food is one of the best in the city of New York .,"[{'term':'food', 'polarity':'positive'}]"
"service is friendly , and never had a problem walking in and getting a table .","[{'term':'service', 'polarity':'positive'}]"
"service is friendly , and never had a problem walking in and getting a table .","[{'term':'getting a table', 'polarity':'positive'}]"
The atmosphere was crowded but it was a great bistro-type vibe .,"[{'term':'bistro-type vibe', 'polarity':'positive'}]"
"First off , the waitress was completely unattentive the 2 times we saw her -LRB- odd in a restaurant with 6 tables -RRB- and got our order wrong .","[{'term':'waitress', 'polarity':'negative'}]"
"First off , the waitress was completely unattentive the 2 times we saw her -LRB- odd in a restaurant with 6 tables -RRB- and got our order wrong .","[{'term':'tables', 'polarity':'none'}]"
The food was bland oily .,"[{'term':'food', 'polarity':'negative'}]"
"What is even better , is that the prices are very affordable as well , and the food is really good .","[{'term':'prices', 'polarity':'positive'}]"
"What is even better , is that the prices are very affordable as well , and the food is really good .","[{'term':'food', 'polarity':'positive'}]"
The fish is fresh but the variety of fish is nothing out of ordinary .,"[{'term':'fish', 'polarity':'positive'}]"
The fish is fresh but the variety of fish is nothing out of ordinary .,"[{'term':'variety of fish', 'polarity':'negative'}]"
"Our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .","[{'term':'pesto pizza', 'polarity':'positive'}]"
"Our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .","[{'term':'house salad', 'polarity':'positive'}]"
"Our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .","[{'term':'bottle of wine', 'polarity':'positive'}]"
"Our favorite meal is a pesto pizza , the house salad , and a good bottle of wine .","[{'term':'meal', 'polarity':'positive'}]"
"And Kruno , the beverage manager is the best bartender I have yet to come across .","[{'term':'bartender', 'polarity':'positive'}]"
"And Kruno , the beverage manager is the best bartender I have yet to come across .","[{'term':'beverage manager', 'polarity':'positive'}]"
"Ambiance and music funky , which I enjoy .","[{'term':'Ambiance', 'polarity':'positive'}]"
"Ambiance and music funky , which I enjoy .","[{'term':'music', 'polarity':'positive'}]"
"The food , drinks and service are clearly among the best in the city .","[{'term':'food', 'polarity':'positive'}]"
"The food , drinks and service are clearly among the best in the city .","[{'term':'drinks', 'polarity':'positive'}]"
"The food , drinks and service are clearly among the best in the city .","[{'term':'service', 'polarity':'positive'}]"
I went there in late afternoon for some bite size food and refleshment with my date .,"[{'term':'food', 'polarity':'none'}]"
I went there in late afternoon for some bite size food and refleshment with my date .,"[{'term':'refleshment', 'polarity':'none'}]"
"I understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .","[{'term':'ambiance', 'polarity':'positive'}]"
"I understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .","[{'term':'service', 'polarity':'positive'}]"
"I understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .","[{'term':'foods', 'polarity':'positive'}]"
"I understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .","[{'term':'tastes', 'polarity':'positive'}]"
"I understand the area and folks you need not come here for the romantic , alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods , the tastes , the experiance .","[{'term':'sommlier', 'polarity':'positive'}]"
